"address","behavior","experience","holding","selling","taste","automation","spendIntent","influence"
"0x00000000005ef87f8ca7014309ece7260bbcdaeb","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_HIGH","SCORE_MED","SCORE_VERY_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x000a3e111b04a7b3ebcd59b8554b224336057a28","BEHAVIOR_COLLECTOR","SCORE_VERY_HIGH","SCORE_HIGH","SCORE_LOW","SCORE_MED","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x0042e7b8a10705b9180acda98426b2d03706f836","BEHAVIOR_COLLECTOR","SCORE_VERY_HIGH","SCORE_VERY_HIGH","SCORE_LOW","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x00486fcef4a3114055e48b0fcb5d6fae5d46c68a","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_HIGH","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x004cf65b315287fc064495da288459208ef575a9","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_VERY_HIGH","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x005611d9b688f25c2c9dde75ae95abc3002478ca","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_MED","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x0082e9de4b3af7017f766da7c696b8bf65d921b7","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_LOW","SCORE_MED","SCORE_VERY_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x008f38a71dd5e39f3eb4959411ebd724a4707818","BEHAVIOR_CREATOR","SCORE_VERY_HIGH","SCORE_MED","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x0095ba16471786229ee0f4ed90672071c5daaa29","BEHAVIOR_ADVANCED","SCORE_VERY_HIGH","SCORE_MED","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
"0x00c62fb0ed991c19edffedf58136f42d188c3cf2","BEHAVIOR_EXPLORER","SCORE_VERY_HIGH","SCORE_HIGH","SCORE_MED","SCORE_LOW","SCORE_LOW","SCORE_VERY_HIGH","SCORE_VERY_LOW"
